Distancia,Centimetros
207,33.5
210,34.70764712052869
213,35.91529424105738
214,36.31784328123361
215,36.72039232140984
216,37.12294136158607
217,37.5254904017623
218,37.92803944193853
219,38.330588482114756
220,38.73313752229099
221,39.13568656246722
222,39.53823560264345
223,39.94078464281968
224,40.343333682995905
225,40.74588272317214
226,41.14843176334837
227,41.550980803524595
229,42.35607888387706
230,42.758627924053286
231,43.16117696422952
232,43.56372600440575
233,43.96627504458198
234,44.36882408475821
235,44.771373124934435
236,45.17392216511067
237,45.57647120528689
238,45.979020245463126
241,47.186667365991816
243,47.991765446344274
244,48.39431448652051
245,48.79686352669674
246,49.199412566872965
247,49.60196160704919
248,50.00451064722543
249,50.407059687401656
250,50.80960872757788
251,51.212157767754114
252,51.61470680793035
253,52.01725584810657
254,52.419804888282805
255,52.82235392845904
256,53.22490296863526
257,53.627452008811495
259,54.43255008916395
260,54.83509912934018
261,55.23764816951642
262,55.640197209692644
263,56.04274624986887
265,56.847844330221335
266,57.25039337039756
267,57.65294241057379
268,58.055491450750026
269,58.45804049092625
270,58.860589531102484
272,59.66568761145494
275,60.87333473198363
277,61.67843281233609
279,62.48353089268855
282,63.69117801321724
283,64.09372705339348
285,64.89882513374593
288,66.10647225427462
293,68.11921745515576
295,68.92431553550823
297,69.7294136158607
299,70.53451169621314
301,71.33960977656561
302,71.74215881674183
303,72.14470785691807
305,72.94980593727053
306,73.35235497744677
307,73.75490401762299
312,75.76764921850415
319,78.58549249973774
320,78.98804153991398
323,80.19568866044267
325,81.00078674079512
328,82.20843386132381
331,83.4160809818525
333,84.22117906220497
335,85.02627714255743
338,86.23392426308612
339,86.63647330326233
342,87.84412042379103
344,88.6492185041435
346,89.45431658449596
353,92.27215986572956
362,95.89510122731564
363,96.29765026749186
368,98.31039546837302
383,104.34863107101646
384,104.7511801111927
386,105.55627819154515
388,106.36137627189761
390,107.16647435225006
392,107.97157243260253
396,109.58176859330744
397,109.98431763348368
398,110.45506419400854
402,112.867584123521
404,114.07384408827724
405,114.67697407065535
406,115.28010405303347
408,116.4863640177897
410,117.69262398254592
411,118.29575396492405
414,120.1051439120584
419,123.12079382394897
424,126.13644373583955
432,130.96148359486446
434,132.1677435596207
437,133.97713350675505
443,137.59591340102372
445,138.80217336577996
446,139.40530334815807
472,155.08668288998908
473,155.68981287236718
487,164.13363262566082
488,164.73676260803893
508,176.79936225560124
509,177.40249223797935
510,178.00562222035745
511,178.60875220273556
512,179.2118821851137
513,179.8150121674918
515,181.02127213224804
516,181.62440211462615
517,182.22753209700426
519,183.4337920617605
521,184.64005202651674
523,185.84631199127296
524,186.44944197365106
525,187.0525719560292
526,187.6557019384073
527,188.25883192078544
529,189.46509188554165
530,190.06822186791976
531,190.67135185029787
532,191.274481832676
534,192.48074179743224
535,193.08387177981035
537,194.29013174456657
540,196.09952169170091
543,197.90891163883526
544,198.51204162121337
545,199.11517160359148
546,199.7183015859696
550,202.13082151548207
552,203.3370814802383
553,203.94021146261642
555,205.14647142737266
559,207.55899135688512
565,211.17777125115379
569,213.59029118066627
570,214.19342116304438
573,216.00281111017873
578,219.0184610220693
581,220.82785096920367
585,223.2403708987161
586,223.84350088109423
590,226.25602081060669
593,228.06541075774103
596,229.87480070487538
600,232.28732063438784
605,235.3029705462784
607,236.50923051103464
609,237.7154904757909
611,238.9217504405471
615,241.33427037005956
616,241.9374003524377
617,242.5405303348158
621,244.95305026432825
622,245.5561802467064
627,248.57183015859695
628,249.17496014097506
629,249.7780901233532
630,250.3812201057313
631,250.9843500881094
632,251.58748007048754
633,252.19061005286565
634,252.79374003524376
635,253.39687001762186
636,254.0
